Stage,Time
light,2018-06-03 21:55:00
deep,2018-06-03 23:10:00
light,2018-06-03 23:15:00
deep,2018-06-03 23:31:00
light,2018-06-04 00:07:30
rem,2018-06-04 00:40:00
light,2018-06-04 01:00:00
deep,2018-06-04 01:26:00
light,2018-06-04 01:41:00
rem,2018-06-04 01:55:00
light,2018-06-04 01:59:30
wake,2018-06-04 02:16:00
light,2018-06-04 02:20:00
wake,2018-06-04 02:23:00
light,2018-06-04 02:33:00
wake,2018-06-04 02:48:00
light,2018-06-04 02:58:00
rem,2018-06-04 05:00:30
light,2018-06-04 05:24:30
wake,2018-06-04 05:29:00
rem,2018-06-04 05:33:00
light,2018-06-04 05:46:00
wake,2018-06-04 06:30:00
light,2018-06-04 06:35:00
wake,2018-06-04 06:40:00
light,2018-06-04 06:44:00
wake,2018-06-04 06:48:30
light,2018-06-04 07:07:00
wake,2018-06-04 07:09:30
